budget,client,crawled_at,description,posted_date,title,url
予算はワーカーと相談,coffeegd,2025-01-16T12:53:39.783Z,,2025-01-09,副業からフリーランスまで！柔軟に働ける営業代行のお仕事！,https://crowdworks.jp/public/jobs/11619701
"50,000円 〜 100,000円",sakuraterrace,2025-01-16T12:53:39.783Z,,2025-01-16,現行ECCUBEのリニューアルをしたいと思います！,https://crowdworks.jp/public/jobs/11644161
"10,000円 〜 50,000円",something,2025-01-16T12:53:39.783Z,,2025-01-16,【成功報酬1万円】美容脱毛から医療脱毛へ勧めるLP。ヤフー広告のリスティング広告で掲載不可の審査のLPを掲載OKにしたい。,https://crowdworks.jp/public/jobs/11644157
予算はワーカーと相談,shinya_yamaoka,2025-01-16T12:53:39.783Z,,2025-01-16,【継続依頼アリ】営業先のリサーチ＆リスト作成,https://crowdworks.jp/public/jobs/11644156
"50,000円 〜 100,000円",hiro123451,2025-01-16T12:53:39.783Z,,2025-01-16,【1本1500円〜】2ch感動系YouTubeショート動画の編集！【長期継続案件】,https://crowdworks.jp/public/jobs/11644151
"〜 5,000円",N NETWORK,2025-01-16T12:53:39.783Z,,2025-01-16,️⭕️カンタン！実績つけます️!⭕️節分に関するアンケート(恵方巻き？豆まき？),https://crowdworks.jp/public/jobs/11644146
"50,000円 〜 100,000円",Yushi Uchio,2025-01-16T12:53:39.783Z,,2025-01-16,"【10分8,500円】女性YouTuberのサブチャンネル編集をお願いできる方を募集！",https://crowdworks.jp/public/jobs/11644145
予算はワーカーと相談,kazya_editor,2025-01-16T12:53:39.783Z,,2025-01-16,【主婦の方歓迎！】大谷翔平選手のYouTube動画編集者さん募集！ディレクター昇格有【プロマネ有、長期依頼】！!！,https://crowdworks.jp/public/jobs/11644139
"10,000円 〜 50,000円",Yushi Uchio,2025-01-16T12:53:39.783Z,,2025-01-16,【ショート動画１本2500円】 不動産物件ルームツアーショート動画作成できる方を募集！,https://crowdworks.jp/public/jobs/11644140
"5,000円 〜 10,000円",naakamuura,2025-01-16T12:53:39.783Z,,2025-01-16,【実績なくても挑戦OK！】旅行系のブログ記事書いてくださる方募集！,https://crowdworks.jp/public/jobs/11643522
予算はワーカーと相談,kazya_editor,2025-01-16T12:53:39.783Z,,2025-01-16,【主婦の方歓迎！】大谷翔平選手のYouTube動画編集者さん募集！ディレクター昇格有【プロマネ有、長期依頼】,https://crowdworks.jp/public/jobs/11644136
,ニート社長,2025-01-16T12:53:39.783Z,,2025-01-04,同人作家「ニート社長」の名刺デザイン,https://crowdworks.jp/public/jobs/11600607
予算はワーカーと相談,きょうへい02,2025-01-16T12:53:39.783Z,,2025-01-07,【副業！経験者優遇！主婦&未経験者も大歓迎です】海外物販サイトeBayでの出品商品リサーチ業務 ※研修もしっかり行います,https://crowdworks.jp/public/jobs/11608216
予算はワーカーと相談,kazya_editor,2025-01-16T12:53:39.783Z,,2025-01-16,【主婦の方歓迎！】大谷翔平選手のYouTube動画編集者さん募集！ディレクター昇格有【プロマネ有、長期依頼】！!,https://crowdworks.jp/public/jobs/11644135
"〜 5,000円",そうた1215,2025-01-16T12:53:39.783Z,,2025-01-16,僕の代わりに動画生成AIで画像を動画化してほしい,https://crowdworks.jp/public/jobs/11644130
予算はワーカーと相談,jamsam,2025-01-16T12:53:39.783Z,,2025-01-16,HP素材のための写真撮影・編集依頼,https://crowdworks.jp/public/jobs/11644123
"10,000円 〜 50,000円",movie_edit2,2025-01-16T12:53:39.783Z,,2025-01-16,YouTubeサムネイル作成依頼【複数チャンネル】,https://crowdworks.jp/public/jobs/11644122
"10,000円 〜 50,000円",bazs,2025-01-16T12:53:39.783Z,,2025-01-16,【定期依頼あり】ソーラーライト商品【センサーソーラーライト】監修をお願い致します。,https://crowdworks.jp/public/jobs/11527909
,kanesima,2025-01-16T12:53:39.783Z,,2025-01-16,1記事　5200文字　交通事故に関するブログ記事作成,https://crowdworks.jp/public/jobs/11644111
"100,000円 〜 300,000円",アクセルライク02,2025-01-16T12:53:39.783Z,,2025-01-16,【７２００文字☆1本１５０００円】登録者４０万人のYoutube（トラブルバスターズ）のスカッとアニメのシナリオライターさん募集,https://crowdworks.jp/public/jobs/11595100
"500,000円 〜 1,000,000円",アクセルライク02,2025-01-16T12:53:39.783Z,,2025-01-16,ChatGPTその他AIを使ったシナリオ制作ツールの開発,https://crowdworks.jp/public/jobs/11595108
"50,000円 〜 100,000円",アクセルライク02,2025-01-16T12:53:39.783Z,,2025-01-16,【1本7000円】YoutubeのLINEアニメのシナリオ添削さん募集！脚本家・シナリオディレクター,https://crowdworks.jp/public/jobs/11595115
"〜 5,000円",sosoyukkuri,2025-01-16T12:53:39.783Z,,2025-01-16,【葬送のフリーレン好きな方必見】ゆっくり解説の動画編集作業※長期継続可能,https://crowdworks.jp/public/jobs/11644107
"〜 5,000円",next japan,2025-01-16T12:53:39.783Z,,2025-01-16,webサービスのフローチャート、仕様書作成,https://crowdworks.jp/public/jobs/11644106
,premiparty,2025-01-16T12:53:39.783Z,,2025-01-16,シャッター110番の口コミを募集します。,https://crowdworks.jp/public/jobs/11644093
"〜 5,000円",yokoyamae0328,2025-01-16T12:53:39.783Z,,2025-01-16,【カンタン！初心者・未経験者・実績作りに！】アンケート募集,https://crowdworks.jp/public/jobs/11644103
"50,000円 〜 100,000円",moonlight0707,2025-01-16T12:53:39.783Z,,2025-01-16,【好条件♪】古着ショップのアシスタント業務！(未経験でもOKです♪),https://crowdworks.jp/public/jobs/11644102
,すずきしゅんと,2025-01-16T12:53:39.783Z,,2025-01-16,ドバイ、UAEに関するブログ記事作成,https://crowdworks.jp/public/jobs/11644099
予算はワーカーと相談,【渋谷】WEB広告代理店,2025-01-16T12:53:39.783Z,,2025-01-16,【継続依頼あり】X広告のディレクター兼運用者の募集！【女性向け商品】,https://crowdworks.jp/public/jobs/11644097
,KAWAI001,2025-01-16T12:53:39.783Z,,2025-01-16,民泊の看板デザインをお願いします,https://crowdworks.jp/public/jobs/11644089
"5,000円 〜 10,000円",SMinternational,2025-01-16T12:53:39.783Z,,2025-01-16,ウェブ記事から辞書形式への編纂（性に関する語彙）,https://crowdworks.jp/public/jobs/11644087
"10,000円",ポプラズ,2025-01-16T12:53:39.783Z,,2025-01-16,お家でできるから主婦(夫)さんにもオススメ！配信のお仕事☆*。．,https://crowdworks.jp/public/jobs/11644085
予算はワーカーと相談,米村美佳,2025-01-16T12:53:39.783Z,,2025-01-16,◆急募！◆完全在宅のSNSのお仕事です★平日の日中に時間が取れる方オススメ★スキル・経験よりやる気を重視♪マニュアル＆サポート付,https://crowdworks.jp/public/jobs/11635847
予算はワーカーと相談,kgy999,2025-01-16T12:53:39.783Z,,2025-01-16,私の管理している海水魚・熱帯魚ブログへの毎日投稿出来る方募集。,https://crowdworks.jp/public/jobs/11644083
"10,000円 〜 50,000円",Tentoi7,2025-01-16T12:53:39.783Z,,2025-01-16,【26000円】人気配信者の動画編集!! テロップ挿入のみ!!,https://crowdworks.jp/public/jobs/11644081
"5,000円 〜 10,000円",norio65,2025-01-16T12:53:39.783Z,,2025-01-16,求人広告作成経験者募集｜1社2職種：5000円,https://crowdworks.jp/public/jobs/11644079
"10,000円 〜 50,000円",HomareSuhara,2025-01-16T12:53:39.783Z,,2025-01-16,【三重県名張市】サウナグッズのプロモーションに出演していただける女性モデル様の募集,https://crowdworks.jp/public/jobs/11644078
"10,000円",ポプラズ,2025-01-16T12:53:39.783Z,,2025-01-16,スマホ1台で簡単にできる！人気の配信アプリを使った配信作業☆*。．,https://crowdworks.jp/public/jobs/11644076
"〜 5,000円",rinc8,2025-01-16T12:53:39.783Z,,2025-01-16,"未経験者OK｜YouTubeショート,  動画TikTok動画制作",https://crowdworks.jp/public/jobs/11644062
,rinc8,2025-01-16T12:53:39.783Z,,2025-01-16,1記事1000文字程度 | ブログ記事のライティングをお願いします！,https://crowdworks.jp/public/jobs/11644061
予算はワーカーと相談,hncbbbat,2025-01-16T12:53:39.783Z,,2025-01-16,【外注費用は当社が全て負担】YouTubeチャンネルの運営ディレクター募集【ゆっくり解説】のお仕事,https://crowdworks.jp/public/jobs/11644054
,medicanvas,2025-01-16T12:53:39.783Z,,2025-01-16,「あなたの病気自慢してください！」1件50円で簡単入力/初心者大歓迎/実績作りに/現在1900件の体験談が集まっています！,https://crowdworks.jp/public/jobs/11644051
,contents_99d2,2025-01-16T12:53:39.783Z,,2025-01-16,【AIライティング】時給1000円以上,https://crowdworks.jp/public/jobs/11644041
